n_nodes,n_req,exec_time,alpha,count_assigned,count_unassigned,time_instant,node_0_initial_gpu,node_0_updated_gpu,node_0_used_gpu,node_0_initial_cpu,node_0_updated_cpu,node_0_used_cpu,node_0_initial_bw,node_0_updated_bw,node_0_used_bw,node_0_gpu_type,node_0_cpu_consumption,node_0_gpu_consumption,node_1_initial_gpu,node_1_updated_gpu,node_1_used_gpu,node_1_initial_cpu,node_1_updated_cpu,node_1_used_cpu,node_1_initial_bw,node_1_updated_bw,node_1_used_bw,node_1_gpu_type,node_1_cpu_consumption,node_1_gpu_consumption,node_2_initial_gpu,node_2_updated_gpu,node_2_used_gpu,node_2_initial_cpu,node_2_updated_cpu,node_2_used_cpu,node_2_initial_bw,node_2_updated_bw,node_2_used_bw,node_2_gpu_type,node_2_cpu_consumption,node_2_gpu_consumption,node_3_initial_gpu,node_3_updated_gpu,node_3_used_gpu,node_3_initial_cpu,node_3_updated_cpu,node_3_used_cpu,node_3_initial_bw,node_3_updated_bw,node_3_used_bw,node_3_gpu_type,node_3_cpu_consumption,node_3_gpu_consumption,node_4_initial_gpu,node_4_updated_gpu,node_4_used_gpu,node_4_initial_cpu,node_4_updated_cpu,node_4_used_cpu,node_4_initial_bw,node_4_updated_bw,node_4_used_bw,node_4_gpu_type,node_4_cpu_consumption,node_4_gpu_consumption,node_5_initial_gpu,node_5_updated_gpu,node_5_used_gpu,node_5_initial_cpu,node_5_updated_cpu,node_5_used_cpu,node_5_initial_bw,node_5_updated_bw,node_5_used_bw,node_5_gpu_type,node_5_cpu_consumption,node_5_gpu_consumption,node_6_initial_gpu,node_6_updated_gpu,node_6_used_gpu,node_6_initial_cpu,node_6_updated_cpu,node_6_used_cpu,node_6_initial_bw,node_6_updated_bw,node_6_used_bw,node_6_gpu_type,node_6_cpu_consumption,node_6_gpu_consumption,node_7_initial_gpu,node_7_updated_gpu,node_7_used_gpu,node_7_initial_cpu,node_7_updated_cpu,node_7_used_cpu,node_7_initial_bw,node_7_updated_bw,node_7_used_bw,node_7_gpu_type,node_7_cpu_consumption,node_7_gpu_consumption,node_8_initial_gpu,node_8_updated_gpu,node_8_used_gpu,node_8_initial_cpu,node_8_updated_cpu,node_8_used_cpu,node_8_initial_bw,node_8_updated_bw,node_8_used_bw,node_8_gpu_type,node_8_cpu_consumption,node_8_gpu_consumption,node_9_initial_gpu,node_9_updated_gpu,node_9_used_gpu,node_9_initial_cpu,node_9_updated_cpu,node_9_used_cpu,node_9_initial_bw,node_9_updated_bw,node_9_used_bw,node_9_gpu_type,node_9_cpu_consumption,node_9_gpu_consumption,node_10_initial_gpu,node_10_updated_gpu,node_10_used_gpu,node_10_initial_cpu,node_10_updated_cpu,node_10_used_cpu,node_10_initial_bw,node_10_updated_bw,node_10_used_bw,node_10_gpu_type,node_10_cpu_consumption,node_10_gpu_consumption,node_11_initial_gpu,node_11_updated_gpu,node_11_used_gpu,node_11_initial_cpu,node_11_updated_cpu,node_11_used_cpu,node_11_initial_bw,node_11_updated_bw,node_11_used_bw,node_11_gpu_type,node_11_cpu_consumption,node_11_gpu_consumption,node_12_initial_gpu,node_12_updated_gpu,node_12_used_gpu,node_12_initial_cpu,node_12_updated_cpu,node_12_used_cpu,node_12_initial_bw,node_12_updated_bw,node_12_used_bw,node_12_gpu_type,node_12_cpu_consumption,node_12_gpu_consumption,node_13_initial_gpu,node_13_updated_gpu,node_13_used_gpu,node_13_initial_cpu,node_13_updated_cpu,node_13_used_cpu,node_13_initial_bw,node_13_updated_bw,node_13_used_bw,node_13_gpu_type,node_13_cpu_consumption,node_13_gpu_consumption,node_14_initial_gpu,node_14_updated_gpu,node_14_used_gpu,node_14_initial_cpu,node_14_updated_cpu,node_14_used_cpu,node_14_initial_bw,node_14_updated_bw,node_14_used_bw,node_14_gpu_type,node_14_cpu_consumption,node_14_gpu_consumption
15,500,0.00021505355834960938,1,0,0,0,0,0,0,9,9,0,100000000000,100000000000,0,NodeType.DESKTOP,17.84,0,0,0,0,26,26,0,100000000000,100000000000,0,NodeType.SERVER,161.39,0,0,0,0,4,4,0,100000000000,100000000000,0,NodeType.RASPBERRY,3.71,0,0,0,0,7,7,0,100000000000,100000000000,0,NodeType.DESKTOP,19.09,0,0,0,0,27,27,0,100000000000,100000000000,0,NodeType.SERVER,162.05,0,0,0,0,4,4,0,100000000000,100000000000,0,NodeType.RASPBERRY,3.0,0,0,0,0,10,10,0,100000000000,100000000000,0,NodeType.DESKTOP,16.63,0,0,0,0,29,29,0,100000000000,100000000000,0,NodeType.SERVER,151.74,0,0,0,0,4,4,0,100000000000,100000000000,0,NodeType.RASPBERRY,4.12,0,0,0,0,9,9,0,100000000000,100000000000,0,NodeType.DESKTOP,18.98,0,0,0,0,24,24,0,100000000000,100000000000,0,NodeType.SERVER,174.71,0,0,0,0,4,4,0,100000000000,100000000000,0,NodeType.RASPBERRY,2.88,0,0,0,0,9,9,0,100000000000,100000000000,0,NodeType.DESKTOP,13.75,0,0,0,0,28,28,0,100000000000,100000000000,0,NodeType.SERVER,169.23,0,0,0,0,4,4,0,100000000000,100000000000,0,NodeType.RASPBERRY,3.11,0
15,500,0.5203502178192139,1,0,0,1,0,0.0,0,9,9.0,0,100000000000,100000000000,0,DESKTOP,17.84,0,0,0.0,0,26,26.0,0,100000000000,100000000000,0,SERVER,161.39,0,0,0.0,0,4,3.33,0.67,100000000000,100000000000,0,RASPBERRY,4.25,0,0,0.0,0,7,7.0,0,100000000000,100000000000,0,DESKTOP,19.09,0,0,0.0,0,27,27.0,0,100000000000,100000000000.0,0,SERVER,162.05,0,0,0.0,0,4,4.0,0,100000000000,100000000000,0,RASPBERRY,3.0,0,0,0.0,0,10,10.0,0,100000000000,100000000000.0,0,DESKTOP,16.63,0,0,0.0,0,29,29.0,0,100000000000,100000000000.0,0,SERVER,151.74,0,0,0.0,0,4,4.0,0,100000000000,100000000000.0,0,RASPBERRY,4.12,0,0,0.0,0,9,9.0,0,100000000000,100000000000.0,0,DESKTOP,18.98,0,0,0.0,0,24,24.0,0,100000000000,100000000000.0,0,SERVER,174.71,0,0,0.0,0,4,4.0,0,100000000000,100000000000,0,RASPBERRY,2.88,0,0,0.0,0,9,9.0,0,100000000000,100000000000,0,DESKTOP,13.75,0,0,0.0,0,28,28.0,0,100000000000,100000000000,0,SERVER,169.23,0,0,0.0,0,4,4.0,0,100000000000,100000000000,0,RASPBERRY,3.11,0
15,500,0.4915781021118164,1,0,0,2,0,0.0,0,9,9.0,0,100000000000,100000000000,0,DESKTOP,17.84,0,0,0.0,0,26,26.0,0,100000000000,100000000000,0,SERVER,161.39,0,0,0.0,0,4,3.33,0.67,100000000000,100000000000,0,RASPBERRY,4.25,0,0,0.0,0,7,7.0,0,100000000000,100000000000,0,DESKTOP,19.09,0,0,0.0,0,27,27.0,0,100000000000,100000000000.0,0,SERVER,162.05,0,0,0.0,0,4,4.0,0,100000000000,100000000000,0,RASPBERRY,3.0,0,0,0.0,0,10,10.0,0,100000000000,100000000000.0,0,DESKTOP,16.63,0,0,0.0,0,29,29.0,0,100000000000,100000000000.0,0,SERVER,151.74,0,0,0.0,0,4,4.0,0,100000000000,100000000000.0,0,RASPBERRY,4.12,0,0,0.0,0,9,9.0,0,100000000000,100000000000.0,0,DESKTOP,18.98,0,0,0.0,0,24,24.0,0,100000000000,100000000000.0,0,SERVER,174.71,0,0,0.0,0,4,4.0,0,100000000000,100000000000,0,RASPBERRY,2.88,0,0,0.0,0,9,9.0,0,100000000000,100000000000,0,DESKTOP,13.75,0,0,0.0,0,28,28.0,0,100000000000,100000000000,0,SERVER,169.23,0,0,-0.33,0.33,4,2.0,2.0,100000000000,100000000000,0,RASPBERRY,4.76,0
15,500,0.5015649795532227,1,0,0,3,0,0.0,0,9,9.0,0,100000000000,100000000000,0,DESKTOP,17.84,0,0,0.0,0,26,26.0,0,100000000000,100000000000.0,0,SERVER,161.39,0,0,-0.13,0.13,4,1.39,2.61,100000000000,99999000000.0,1000000.0,RASPBERRY,5.81,0,0,0.0,0,7,7.0,0,100000000000,100000000000.0,0,DESKTOP,19.09,0,0,0.0,0,27,27.0,0,100000000000,100000000000.0,0,SERVER,162.05,0,0,0.0,0,4,4.0,0,100000000000,100000000000.0,0,RASPBERRY,3.0,0,0,0.0,0,10,10.0,0,100000000000,100000000000.0,0,DESKTOP,16.63,0,0,-0.2,0.2,29,24.95,4.05,100000000000,99999000000.0,1000000.0,SERVER,164.68,0,0,0.0,0,4,4.0,0,100000000000,100000000000.0,0,RASPBERRY,4.12,0,0,0.0,0,9,9.0,0,100000000000,100000000000.0,0,DESKTOP,18.98,0,0,0.0,0,24,24.0,0,100000000000,100000000000.0,0,SERVER,174.71,0,0,0.0,0,4,4.0,0,100000000000,100000000000.0,0,RASPBERRY,2.88,0,0,0.0,0,9,9.0,0,100000000000,100000000000,0,DESKTOP,13.75,0,0,0.0,0,28,28.0,0,100000000000,100000000000.0,0,SERVER,169.23,0,0,-0.33,0.33,4,2.0,2.0,100000000000,100000000000.0,0,RASPBERRY,4.76,0
15,500,0.5134034156799316,1,0,0,4,0,0.0,0,9,9.0,0,100000000000,100000000000,0,DESKTOP,17.84,0,0,0.0,0,26,26.0,0,100000000000,100000000000.0,0,SERVER,161.39,0,0,-0.19,0.19,4,0.87,3.13,100000000000,99998000000.0,2000000.0,RASPBERRY,6.23,0,0,0.0,0,7,7.0,0,100000000000,100000000000.0,0,DESKTOP,19.09,0,0,-0.27,0.27,27,25.52,1.48,100000000000,99999000000.0,1000000.0,SERVER,164.12,0,0,0.0,0,4,4.0,0,100000000000,100000000000.0,0,RASPBERRY,3.0,0,0,0.0,0,10,10.0,0,100000000000,100000000000.0,0,DESKTOP,16.63,0,0,-0.2,0.2,29,24.95,4.05,100000000000,99999000000.0,1000000.0,SERVER,164.68,0,0,0.0,0,4,4.0,0,100000000000,100000000000.0,0,RASPBERRY,4.12,0,0,0.0,0,9,9.0,0,100000000000,100000000000.0,0,DESKTOP,18.98,0,0,0.0,0,24,24.0,0,100000000000,100000000000.0,0,SERVER,174.71,0,0,0.0,0,4,4.0,0,100000000000,100000000000.0,0,RASPBERRY,2.88,0,0,0.0,0,9,9.0,0,100000000000,100000000000,0,DESKTOP,13.75,0,0,0.0,0,28,28.0,0,100000000000,100000000000.0,0,SERVER,169.23,0,0,-0.33,0.33,4,2.0,2.0,100000000000,100000000000.0,0,RASPBERRY,4.76,0
15,500,0.5178208351135254,1,0,0,5,0,-0.0,0,9,9.0,0,100000000000,100000000000.0,0,DESKTOP,17.84,0,0,0.0,0,26,26.0,0,100000000000,100000000000.0,0,SERVER,161.39,0,0,-0.39,0.39,4,0.17,3.83,100000000000,99997000000.0,3000000.0,RASPBERRY,6.79,0,0,0.0,0,7,7.0,0,100000000000,100000000000.0,0,DESKTOP,19.09,0,0,-0.27,0.27,27,25.52,1.48,100000000000,99999000000.0,1000000.0,SERVER,164.12,0,0,-0.13,0.13,4,2.7,1.3,100000000000,99999000000.0,1000000.0,RASPBERRY,4.15,0,0,-0.0,0,10,10.0,0,100000000000,100000000000.0,0,DESKTOP,16.63,0,0,-0.2,0.2,29,24.95,4.05,100000000000,99999000000.0,1000000.0,SERVER,164.68,0,0,0.0,0,4,4.0,0,100000000000,100000000000.0,0,RASPBERRY,4.12,0,0,0.0,0,9,9.0,0,100000000000,100000000000.0,0,DESKTOP,18.98,0,0,0.0,0,24,24.0,0,100000000000,100000000000.0,0,SERVER,174.71,0,0,0.0,0,4,4.0,0,100000000000,100000000000.0,0,RASPBERRY,2.88,0,0,0.0,0,9,9.0,0,100000000000,100000000000,0,DESKTOP,13.75,0,0,0.0,0,28,28.0,0,100000000000,100000000000.0,0,SERVER,169.23,0,0,-0.33,0.33,4,2.0,2.0,100000000000,100000000000.0,0,RASPBERRY,4.76,0
15,500,0.5357949733734131,1,0,0,6,0,-0.0,0,9,9.0,0,100000000000,100000000000.0,0,DESKTOP,17.84,0,0,0.0,0,26,26.0,0,100000000000,100000000000.0,0,SERVER,161.39,0,0,-0.39,0.39,4,0.17,3.83,100000000000,99997000000.0,3000000.0,RASPBERRY,6.79,0,0,-0.0,0,7,7.0,0,100000000000,100000000000.0,0,DESKTOP,19.09,0,0,-0.27,0.27,27,25.52,1.48,100000000000,99999000000.0,1000000.0,SERVER,164.12,0,0,-0.22,0.22,4,0.7,3.3,100000000000,99999000000.0,1000000.0,RASPBERRY,5.93,0,0,-0.0,0,10,10.0,0,100000000000,100000000000.0,0,DESKTOP,16.63,0,0,-0.2,0.2,29,24.95,4.05,100000000000,99999000000.0,1000000.0,SERVER,164.68,0,0,-0.0,0,4,4.0,0,100000000000,100000000000.0,0,RASPBERRY,4.12,0,0,0.0,0,9,9.0,0,100000000000,100000000000.0,0,DESKTOP,18.98,0,0,-0.0,0,24,24.0,0,100000000000,100000000000.0,0,SERVER,174.71,0,0,0.0,0,4,4.0,0,100000000000,100000000000.0,0,RASPBERRY,2.88,0,0,-0.0,0,9,9.0,0,100000000000,100000000000,0,DESKTOP,13.75,0,0,0.0,0,28,28.0,0,100000000000,100000000000.0,0,SERVER,169.23,0,0,-0.33,0.33,4,2.0,2.0,100000000000,100000000000.0,0,RASPBERRY,4.76,0
15,500,0.5076353549957275,1,0,0,7,0,-0.0,0,9,9.0,0,100000000000,100000000000.0,0,DESKTOP,17.84,0,0,0.0,0,26,26.0,0,100000000000,100000000000.0,0,SERVER,161.39,0,0,-0.39,0.39,4,0.17,3.83,100000000000,99997000000.0,3000000.0,RASPBERRY,6.79,0,0,-0.0,0,7,7.0,0,100000000000,100000000000.0,0,DESKTOP,19.09,0,0,-0.27,0.27,27,23.78,3.22,100000000000,99997000000.0,3000000.0,SERVER,166.55,0,0,-0.22,0.22,4,0.35,3.65,100000000000,99998000000.0,2000000.0,RASPBERRY,6.24,0,0,-0.0,0,10,10.0,0,100000000000,100000000000.0,0,DESKTOP,16.63,0,0,-0.2,0.2,29,24.95,4.05,100000000000,99999000000.0,1000000.0,SERVER,164.68,0,0,-0.0,0,4,4.0,0,100000000000,100000000000.0,0,RASPBERRY,4.12,0,0,0.0,0,9,9.0,0,100000000000,100000000000.0,0,DESKTOP,18.98,0,0,-0.0,0,24,24.0,0,100000000000,100000000000.0,0,SERVER,174.71,0,0,0.0,0,4,3.42,0.58,100000000000,99999000000.0,1000000.0,RASPBERRY,3.42,0,0,-0.0,0,9,9.0,0,100000000000,100000000000,0,DESKTOP,13.75,0,0,0.0,0,28,28.0,0,100000000000,100000000000.0,0,SERVER,169.23,0,0,-0.33,0.33,4,2.0,2.0,100000000000,100000000000.0,0,RASPBERRY,4.76,0
15,500,0.5146570205688477,1,0,0,8,0,-0.0,0,9,9.0,0,100000000000,100000000000.0,0,DESKTOP,17.84,0,0,0.0,0,26,26.0,0,100000000000,100000000000.0,0,SERVER,161.39,0,0,-0.39,0.39,4,0.17,3.83,100000000000,99997000000.0,3000000.0,RASPBERRY,6.79,0,0,-0.0,0,7,7.0,0,100000000000,100000000000.0,0,DESKTOP,19.09,0,0,-0.27,0.27,27,23.78,3.22,100000000000,99997000000.0,3000000.0,SERVER,166.55,0,0,-0.22,0.22,4,0.17,3.83,100000000000,99997000000.0,3000000.0,RASPBERRY,6.4,0,0,-0.0,0,10,10.0,0,100000000000,100000000000.0,0,DESKTOP,16.63,0,0,-0.2,0.2,29,24.95,4.05,100000000000,99999000000.0,1000000.0,SERVER,164.68,0,0,-0.0,0,4,4.0,0,100000000000,100000000000.0,0,RASPBERRY,4.12,0,0,0.0,0,9,9.0,0,100000000000,100000000000.0,0,DESKTOP,18.98,0,0,-0.0,0,24,24.0,0,100000000000,100000000000.0,0,SERVER,174.71,0,0,0.0,0,4,2.93,1.07,100000000000,99998000000.0,2000000.0,RASPBERRY,3.87,0,0,-0.0,0,9,9.0,0,100000000000,100000000000,0,DESKTOP,13.75,0,0,0.0,0,28,28.0,0,100000000000,100000000000.0,0,SERVER,169.23,0,0,-0.33,0.33,4,2.0,2.0,100000000000,100000000000.0,0,RASPBERRY,4.76,0
15,500,0.5513522624969482,1,0,0,9,0,-0.0,0,9,9.0,0,100000000000,100000000000.0,0,DESKTOP,17.84,0,0,-0.0,0,26,26.0,0,100000000000,100000000000.0,0,SERVER,161.39,0,0,-0.44,0.44,4,0.08,3.92,100000000000,99996000000.0,4000000.0,RASPBERRY,6.86,0,0,-0.0,0,7,7.0,0,100000000000,100000000000.0,0,DESKTOP,19.09,0,0,-0.27,0.27,27,23.78,3.22,100000000000,99997000000.0,3000000.0,SERVER,166.55,0,0,-0.22,0.22,4,0.17,3.83,100000000000,99997000000.0,3000000.0,RASPBERRY,6.4,0,0,-0.0,0,10,10.0,0,100000000000,100000000000.0,0,DESKTOP,16.63,0,0,-0.2,0.2,29,24.95,4.05,100000000000,99999000000.0,1000000.0,SERVER,164.68,0,0,-0.07,0,4,2.69,1.31,100000000000,99998000000.0,2000000.0,RASPBERRY,4.87,0,0,-0.0,0,9,9.0,0,100000000000,100000000000.0,0,DESKTOP,18.98,0,0,-0.0,0,24,24.0,0,100000000000,100000000000.0,0,SERVER,174.71,0,0,-0.21,0.21,4,2.33,1.67,100000000000,99995000000.0,5000000.0,RASPBERRY,4.43,0,0,-0.0,0,9,9.0,0,100000000000,100000000000,0,DESKTOP,13.75,0,0,-0.0,0,28,28.0,0,100000000000,100000000000.0,0,SERVER,169.23,0,0,-0.33,0.33,4,2.0,2.0,100000000000,100000000000.0,0,RASPBERRY,4.76,0
